voxel_col,x,y,z
1444,23,10,7
1445,28,10,7
1446,29,10,7
1447,30,10,7
1448,31,10,7
1449,32,10,7
1450,33,10,7
1451,34,10,7
1452,35,10,7
1453,36,10,7
1454,37,10,7
1455,38,10,7
1456,39,10,7
1457,40,10,7
1458,12,11,7
1459,13,11,7
1460,14,11,7
1461,15,11,7
1462,16,11,7
1463,17,11,7
1464,18,11,7
1465,19,11,7
1466,20,11,7
1467,21,11,7
1468,22,11,7
1469,28,11,7
1470,29,11,7
1471,30,11,7
1472,31,11,7
1473,32,11,7
1474,33,11,7
1475,34,11,7
1476,35,11,7
1477,36,11,7
1478,37,11,7
1479,38,11,7
1480,39,11,7
1481,40,11,7
1482,11,12,7
1483,12,12,7
1484,13,12,7
1485,14,12,7
1486,15,12,7
1487,17,12,7
1488,18,12,7
1489,19,12,7
1490,20,12,7
1491,22,12,7
1492,23,12,7
1493,28,12,7
1494,29,12,7
1495,30,12,7
1496,31,12,7
1497,32,12,7
1498,33,12,7
1499,34,12,7
1500,36,12,7
1501,37,12,7
1502,38,12,7
1503,39,12,7
1504,40,12,7
1505,11,13,7
1506,13,13,7
1507,14,13,7
1508,15,13,7
1509,17,13,7
1510,18,13,7
1511,19,13,7
1512,20,13,7
1513,21,13,7
1514,22,13,7
1515,23,13,7
1516,26,13,7
1517,28,13,7
1518,29,13,7
1519,30,13,7
1520,31,13,7
1521,32,13,7
1522,33,13,7
1523,34,13,7
1524,37,13,7
1525,38,13,7
1526,39,13,7
1527,40,13,7
1528,41,13,7
1529,10,14,7
1530,11,14,7
1531,13,14,7
1532,16,14,7
1533,17,14,7
1534,18,14,7
1535,19,14,7
1536,20,14,7
1537,21,14,7
1538,22,14,7
1539,24,14,7
1540,25,14,7
1541,26,14,7
1542,29,14,7
1543,30,14,7
1544,31,14,7
1545,32,14,7
1546,33,14,7
1547,34,14,7
1548,37,14,7
1549,38,14,7
1550,39,14,7
1551,40,14,7
1552,41,14,7
1553,9,15,7
1554,10,15,7
1555,11,15,7
1556,12,15,7
1557,13,15,7
1558,16,15,7
1559,17,15,7
1560,18,15,7
1561,19,15,7
1562,20,15,7
1563,21,15,7
1564,22,15,7
1565,24,15,7
1566,25,15,7
1567,26,15,7
1568,27,15,7
1569,28,15,7
1570,29,15,7
1571,30,15,7
1572,31,15,7
1573,32,15,7
1574,33,15,7
1575,34,15,7
1576,37,15,7
1577,38,15,7
1578,39,15,7
1579,40,15,7
1580,41,15,7
1581,42,15,7
1582,43,15,7
1583,8,16,7
1584,9,16,7
1585,10,16,7
1586,11,16,7
1587,12,16,7
1588,16,16,7
1589,17,16,7
1590,18,16,7
1591,19,16,7
1592,20,16,7
1593,21,16,7
1594,22,16,7
1595,23,16,7
1596,24,16,7
1597,25,16,7
1598,26,16,7
1599,27,16,7
1600,28,16,7
1601,29,16,7
1602,30,16,7
1603,31,16,7
1604,32,16,7
1605,33,16,7
1606,34,16,7
1607,38,16,7
1608,39,16,7
1609,40,16,7
1610,41,16,7
1611,42,16,7
1612,43,16,7
1613,44,16,7
1614,8,17,7
1615,9,17,7
1616,10,17,7
1617,11,17,7
1618,16,17,7
1619,17,17,7
1620,18,17,7
1621,19,17,7
1622,20,17,7
1623,21,17,7
1624,22,17,7
1625,23,17,7
1626,24,17,7
1627,25,17,7
1628,26,17,7
1629,27,17,7
1630,28,17,7
1631,29,17,7
1632,30,17,7
1633,31,17,7
1634,32,17,7
1635,33,17,7
1636,34,17,7
1637,35,17,7
1638,38,17,7
1639,39,17,7
1640,40,17,7
1641,41,17,7
1642,42,17,7
1643,43,17,7
1644,44,17,7
1645,7,18,7
1646,8,18,7
1647,9,18,7
1648,10,18,7
1649,16,18,7
1650,17,18,7
1651,18,18,7
1652,19,18,7
1653,20,18,7
1654,21,18,7
1655,22,18,7
1656,23,18,7
1657,24,18,7
